description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Mensafood Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0228.jpg
Mensafood Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0229.jpg
Mensafood Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0230.jpg
Mensafood Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0231.jpg
Mensafood Thai curry with vegetables and soy; basmati rice; peanuts,,,,,,aug/mensa-rempartstrae_essen-1_aug0240.jpg
Mensafood Thai curry with vegetables and soy; basmati rice; peanuts,,,,,,aug/mensa-rempartstrae_essen-1_aug0241.jpg
Mensafood Thai curry with vegetables and soy; basmati rice; peanuts,,,,,,aug/mensa-rempartstrae_essen-1_aug0242.jpg
Mensafood Thai curry with vegetables and soy; basmati rice; peanuts,,,,,,aug/mensa-rempartstrae_essen-1_aug0243.jpg
Mensafood Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,,,,,,aug/mensa-flugplatz_wochenangebot_aug0236.jpg
Mensafood Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,,,,,,aug/mensa-flugplatz_wochenangebot_aug0237.jpg
Mensafood Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,,,,,,aug/mensa-flugplatz_wochenangebot_aug0238.jpg
Mensafood Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,,,,,,aug/mensa-flugplatz_wochenangebot_aug0239.jpg
"Mensafood Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0244.jpg
"Mensafood Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0245.jpg
"Mensafood Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0246.jpg
"Mensafood Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0247.jpg
"Mensafood Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",,,,,,aug/mensa-rempartstrae_wochenangebot_aug0248.jpg
"Mensafood Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",,,,,,aug/mensa-rempartstrae_wochenangebot_aug0249.jpg
"Mensafood Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",,,,,,aug/mensa-rempartstrae_wochenangebot_aug0250.jpg
"Mensafood Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",,,,,,aug/mensa-rempartstrae_wochenangebot_aug0251.jpg
"Mensafood Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",,,,,,aug/mensa-flugplatz_essen-1_aug0252.jpg
"Mensafood Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",,,,,,aug/mensa-flugplatz_essen-1_aug0253.jpg
"Mensafood Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",,,,,,aug/mensa-flugplatz_essen-1_aug0254.jpg
"Mensafood Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",,,,,,aug/mensa-flugplatz_essen-1_aug0255.jpg
Mensafood Rice pudding with pear compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0232.jpg
Mensafood Rice pudding with pear compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0233.jpg
Mensafood Rice pudding with pear compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0234.jpg
Mensafood Rice pudding with pear compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0235.jpg
Mensafood Organic asparagus spears with white sauce; vegetable schnitzel; new potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0264.jpg
Mensafood Organic asparagus spears with white sauce; vegetable schnitzel; new potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0265.jpg
Mensafood Organic asparagus spears with white sauce; vegetable schnitzel; new potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0266.jpg
Mensafood Organic asparagus spears with white sauce; vegetable schnitzel; new potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0267.jpg
Mensafood Almond‑tofu ragout with mushrooms; homemade spaetzle,,,,,,aug/mensa-rempartstrae_essen-1_aug0268.jpg
Mensafood Almond‑tofu ragout with mushrooms; homemade spaetzle,,,,,,aug/mensa-rempartstrae_essen-1_aug0269.jpg
Mensafood Almond‑tofu ragout with mushrooms; homemade spaetzle,,,,,,aug/mensa-rempartstrae_essen-1_aug0270.jpg
Mensafood Almond‑tofu ragout with mushrooms; homemade spaetzle,,,,,,aug/mensa-rempartstrae_essen-1_aug0271.jpg
Mensafood Pork steak with herb butter; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0260.jpg
Mensafood Pork steak with herb butter; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0261.jpg
Mensafood Pork steak with herb butter; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0262.jpg
Mensafood Pork steak with herb butter; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0263.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; cucumber dip; naan bread,,,,,,aug/mensa-flugplatz_essen-1_aug0256.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; cucumber dip; naan bread,,,,,,aug/mensa-flugplatz_essen-1_aug0257.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; cucumber dip; naan bread,,,,,,aug/mensa-flugplatz_essen-1_aug0258.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; cucumber dip; naan bread,,,,,,aug/mensa-flugplatz_essen-1_aug0259.jpg
Mensafood Potato dumplings with cream sauce,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0272.jpg
Mensafood Potato dumplings with cream sauce,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0273.jpg
Mensafood Potato dumplings with cream sauce,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0274.jpg
Mensafood Potato dumplings with cream sauce,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0275.jpg
Mensafood Crispy chicken schnitzel with tomato sauce; fusilli,,,,,,aug/mensa-rempartstrae_essen-2_aug0276.jpg
Mensafood Crispy chicken schnitzel with tomato sauce; fusilli,,,,,,aug/mensa-rempartstrae_essen-2_aug0277.jpg
Mensafood Crispy chicken schnitzel with tomato sauce; fusilli,,,,,,aug/mensa-rempartstrae_essen-2_aug0278.jpg
Mensafood Crispy chicken schnitzel with tomato sauce; fusilli,,,,,,aug/mensa-rempartstrae_essen-2_aug0279.jpg
Mensafood Coalfish fillet in herb marinade; lemon cream; potato rösti; pea purée,,,,,,aug/mensa-rempartstrae_essen-2_aug0284.jpg
Mensafood Coalfish fillet in herb marinade; lemon cream; potato rösti; pea purée,,,,,,aug/mensa-rempartstrae_essen-2_aug0285.jpg
Mensafood Coalfish fillet in herb marinade; lemon cream; potato rösti; pea purée,,,,,,aug/mensa-rempartstrae_essen-2_aug0286.jpg
Mensafood Coalfish fillet in herb marinade; lemon cream; potato rösti; pea purée,,,,,,aug/mensa-rempartstrae_essen-2_aug0287.jpg
Mensafood Beetroot dumplings with feta cheese; feta risotto,,,,,,aug/mensa-flugplatz_essen-1_aug0280.jpg
Mensafood Beetroot dumplings with feta cheese; feta risotto,,,,,,aug/mensa-flugplatz_essen-1_aug0281.jpg
Mensafood Beetroot dumplings with feta cheese; feta risotto,,,,,,aug/mensa-flugplatz_essen-1_aug0282.jpg
Mensafood Beetroot dumplings with feta cheese; feta risotto,,,,,,aug/mensa-flugplatz_essen-1_aug0283.jpg
Mensafood Pan of potato dumplings and vegetables; cream sauce; leafy salad,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0288.jpg
Mensafood Pan of potato dumplings and vegetables; cream sauce; leafy salad,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0289.jpg
Mensafood Pan of potato dumplings and vegetables; cream sauce; leafy salad,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0290.jpg
Mensafood Pan of potato dumplings and vegetables; cream sauce; leafy salad,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0291.jpg
Mensafood Soy gyros; cucumber dip; French fries,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0296.jpg
Mensafood Soy gyros; cucumber dip; French fries,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0297.jpg
Mensafood Soy gyros; cucumber dip; French fries,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0298.jpg
Mensafood Soy gyros; cucumber dip; French fries,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0299.jpg
Mensafood Mixed salad plate “Monte Ziego” with goat cream‑cheese ball; simit bread,,,,,,aug/mensa-flugplatz_essen-1_aug0300.jpg
Mensafood Mixed salad plate “Monte Ziego” with goat cream‑cheese ball; simit bread,,,,,,aug/mensa-flugplatz_essen-1_aug0301.jpg
Mensafood Mixed salad plate “Monte Ziego” with goat cream‑cheese ball; simit bread,,,,,,aug/mensa-flugplatz_essen-1_aug0302.jpg
Mensafood Mixed salad plate “Monte Ziego” with goat cream‑cheese ball; simit bread,,,,,,aug/mensa-flugplatz_essen-1_aug0303.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; French fries",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0292.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; French fries",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0293.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; French fries",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0294.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; French fries",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0295.jpg
Mensafood Vegetable gnocchi pan with pink and white sauces; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0312.jpg
Mensafood Vegetable gnocchi pan with pink and white sauces; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0313.jpg
Mensafood Vegetable gnocchi pan with pink and white sauces; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0314.jpg
Mensafood Vegetable gnocchi pan with pink and white sauces; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0315.jpg
Mensafood Rice pudding with fruit salad and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0308.jpg
Mensafood Rice pudding with fruit salad and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0309.jpg
Mensafood Rice pudding with fruit salad and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0310.jpg
Mensafood Rice pudding with fruit salad and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0311.jpg
Mensafood Fish fillet; herb potatoes; remoulade sauce,,,,,,aug/mensa-flugplatz_essen-2_aug0304.jpg
Mensafood Fish fillet; herb potatoes; remoulade sauce,,,,,,aug/mensa-flugplatz_essen-2_aug0305.jpg
Mensafood Fish fillet; herb potatoes; remoulade sauce,,,,,,aug/mensa-flugplatz_essen-2_aug0306.jpg
Mensafood Fish fillet; herb potatoes; remoulade sauce,,,,,,aug/mensa-flugplatz_essen-2_aug0307.jpg
Mensafood Greek farmer’s salad with feta cheese; seeded baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0320.jpg
Mensafood Greek farmer’s salad with feta cheese; seeded baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0321.jpg
Mensafood Greek farmer’s salad with feta cheese; seeded baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0322.jpg
Mensafood Greek farmer’s salad with feta cheese; seeded baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0323.jpg
Mensafood Organic asparagus spears with butter sauce; breaded pork schnitzel or vegetable schnitzel; new potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0316.jpg
Mensafood Organic asparagus spears with butter sauce; breaded pork schnitzel or vegetable schnitzel; new potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0317.jpg
Mensafood Organic asparagus spears with butter sauce; breaded pork schnitzel or vegetable schnitzel; new potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0318.jpg
Mensafood Organic asparagus spears with butter sauce; breaded pork schnitzel or vegetable schnitzel; new potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0319.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; baked potato and sweet‑potato wedges",,,,,,aug/mensa-flugplatz_essen-2_aug0324.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; baked potato and sweet‑potato wedges",,,,,,aug/mensa-flugplatz_essen-2_aug0325.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; baked potato and sweet‑potato wedges",,,,,,aug/mensa-flugplatz_essen-2_aug0326.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; baked potato and sweet‑potato wedges",,,,,,aug/mensa-flugplatz_essen-2_aug0327.jpg
Mensafood Coalfish fillet in tomato‑basil white‑wine sauce; potato gratin,,,,,,aug/mensa-flugplatz_essen-2_aug0340.jpg
Mensafood Coalfish fillet in tomato‑basil white‑wine sauce; potato gratin,,,,,,aug/mensa-flugplatz_essen-2_aug0341.jpg
Mensafood Coalfish fillet in tomato‑basil white‑wine sauce; potato gratin,,,,,,aug/mensa-flugplatz_essen-2_aug0342.jpg
Mensafood Coalfish fillet in tomato‑basil white‑wine sauce; potato gratin,,,,,,aug/mensa-flugplatz_essen-2_aug0343.jpg
Mensafood Vegetable Swabian dumplings baked with tomato and mozzarella; fried onions; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0332.jpg
Mensafood Vegetable Swabian dumplings baked with tomato and mozzarella; fried onions; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0333.jpg
Mensafood Vegetable Swabian dumplings baked with tomato and mozzarella; fried onions; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0334.jpg
Mensafood Vegetable Swabian dumplings baked with tomato and mozzarella; fried onions; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0335.jpg
Mensafood Potato gratin “Monte Ziego”; goat‑cheese dip,,,,,,aug/mensa-flugplatz_essen-1_aug0336.jpg
Mensafood Potato gratin “Monte Ziego”; goat‑cheese dip,,,,,,aug/mensa-flugplatz_essen-1_aug0337.jpg
Mensafood Potato gratin “Monte Ziego”; goat‑cheese dip,,,,,,aug/mensa-flugplatz_essen-1_aug0338.jpg
Mensafood Potato gratin “Monte Ziego”; goat‑cheese dip,,,,,,aug/mensa-flugplatz_essen-1_aug0339.jpg
Mensafood Börek with spinach; carrot curry; pea purée,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0328.jpg
Mensafood Börek with spinach; carrot curry; pea purée,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0329.jpg
Mensafood Börek with spinach; carrot curry; pea purée,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0330.jpg
Mensafood Börek with spinach; carrot curry; pea purée,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0331.jpg
Mensafood Lentil‑beetroot salad with halloumi and lemon cream; sweet‑potato pan with dates,,,,,,aug/mensa-flugplatz_essen-2_aug0352.jpg
Mensafood Lentil‑beetroot salad with halloumi and lemon cream; sweet‑potato pan with dates,,,,,,aug/mensa-flugplatz_essen-2_aug0353.jpg
Mensafood Lentil‑beetroot salad with halloumi and lemon cream; sweet‑potato pan with dates,,,,,,aug/mensa-flugplatz_essen-2_aug0354.jpg
Mensafood Lentil‑beetroot salad with halloumi and lemon cream; sweet‑potato pan with dates,,,,,,aug/mensa-flugplatz_essen-2_aug0355.jpg
Mensafood Organic asparagus spears with white sauce and new potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0364.jpg
Mensafood Organic asparagus spears with white sauce and new potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0365.jpg
Mensafood Organic asparagus spears with white sauce and new potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0366.jpg
Mensafood Organic asparagus spears with white sauce and new potatoes,,,,,,aug/mensa-flugplatz_essen-1_aug0367.jpg
Mensafood Rice pudding with apple sauce and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0344.jpg
Mensafood Rice pudding with apple sauce and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0345.jpg
Mensafood Rice pudding with apple sauce and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0346.jpg
Mensafood Rice pudding with apple sauce and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0347.jpg
Mensafood Tortellini filled with ricotta and spinach; asparagus vegetable ragout,,,,,,aug/mensa-flugplatz_essen-1_aug0372.jpg
Mensafood Tortellini filled with ricotta and spinach; asparagus vegetable ragout,,,,,,aug/mensa-flugplatz_essen-1_aug0373.jpg
Mensafood Tortellini filled with ricotta and spinach; asparagus vegetable ragout,,,,,,aug/mensa-flugplatz_essen-1_aug0374.jpg
Mensafood Tortellini filled with ricotta and spinach; asparagus vegetable ragout,,,,,,aug/mensa-flugplatz_essen-1_aug0375.jpg
Mensafood Roasted vegetable Swabian dumplings with onion sauce; potato‑cucumber salad,,,,,,aug/mensa-flugplatz_essen-1_aug0348.jpg
Mensafood Roasted vegetable Swabian dumplings with onion sauce; potato‑cucumber salad,,,,,,aug/mensa-flugplatz_essen-1_aug0349.jpg
Mensafood Roasted vegetable Swabian dumplings with onion sauce; potato‑cucumber salad,,,,,,aug/mensa-flugplatz_essen-1_aug0350.jpg
Mensafood Roasted vegetable Swabian dumplings with onion sauce; potato‑cucumber salad,,,,,,aug/mensa-flugplatz_essen-1_aug0351.jpg
Mensafood Pork cordon bleu with lemon jus; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0368.jpg
Mensafood Pork cordon bleu with lemon jus; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0369.jpg
Mensafood Pork cordon bleu with lemon jus; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0370.jpg
Mensafood Pork cordon bleu with lemon jus; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0371.jpg
"Mensafood Halloumi bowl with black lentils, beetroot dip, cucumber, papadam, tomato, olive, lemon bulgur and spicy onions",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0360.jpg
"Mensafood Halloumi bowl with black lentils, beetroot dip, cucumber, papadam, tomato, olive, lemon bulgur and spicy onions",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0361.jpg
"Mensafood Halloumi bowl with black lentils, beetroot dip, cucumber, papadam, tomato, olive, lemon bulgur and spicy onions",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0362.jpg
"Mensafood Halloumi bowl with black lentils, beetroot dip, cucumber, papadam, tomato, olive, lemon bulgur and spicy onions",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0363.jpg
Mensafood Roasted vegetables with pea guacamole,,,,,,aug/mensa-flugplatz_essen-1_aug0356.jpg
Mensafood Roasted vegetables with pea guacamole,,,,,,aug/mensa-flugplatz_essen-1_aug0357.jpg
Mensafood Roasted vegetables with pea guacamole,,,,,,aug/mensa-flugplatz_essen-1_aug0358.jpg
Mensafood Roasted vegetables with pea guacamole,,,,,,aug/mensa-flugplatz_essen-1_aug0359.jpg
Mensafood Rice pudding with strawberry compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0376.jpg
Mensafood Rice pudding with strawberry compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0377.jpg
Mensafood Rice pudding with strawberry compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0378.jpg
Mensafood Rice pudding with strawberry compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0379.jpg
Mensafood Potato‑asparagus gratin with white sauce; dessert,,,,,,aug/mensa-flugplatz_essen-2_aug0380.jpg
Mensafood Potato‑asparagus gratin with white sauce; dessert,,,,,,aug/mensa-flugplatz_essen-2_aug0381.jpg
Mensafood Potato‑asparagus gratin with white sauce; dessert,,,,,,aug/mensa-flugplatz_essen-2_aug0382.jpg
Mensafood Potato‑asparagus gratin with white sauce; dessert,,,,,,aug/mensa-flugplatz_essen-2_aug0383.jpg
Mensafood Puff‑pastry slice with feta‑style cheese and spinach; herb yoghurt dip; vegetable paella,,,,,,aug/mensa-flugplatz_essen-1_aug0388.jpg
Mensafood Puff‑pastry slice with feta‑style cheese and spinach; herb yoghurt dip; vegetable paella,,,,,,aug/mensa-flugplatz_essen-1_aug0389.jpg
Mensafood Puff‑pastry slice with feta‑style cheese and spinach; herb yoghurt dip; vegetable paella,,,,,,aug/mensa-flugplatz_essen-1_aug0390.jpg
Mensafood Puff‑pastry slice with feta‑style cheese and spinach; herb yoghurt dip; vegetable paella,,,,,,aug/mensa-flugplatz_essen-1_aug0391.jpg
Mensafood Cheese spaetzle with creamy mushroom sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0396.jpg
Mensafood Cheese spaetzle with creamy mushroom sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0397.jpg
Mensafood Cheese spaetzle with creamy mushroom sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0398.jpg
Mensafood Cheese spaetzle with creamy mushroom sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0399.jpg
"Mensafood Organic millet salad with vegetables, pumpkin seeds and cranberries; curry dip; flatbread",,,,,,aug/mensa-institutsviertel_schneller-teller_aug0384.jpg
"Mensafood Organic millet salad with vegetables, pumpkin seeds and cranberries; curry dip; flatbread",,,,,,aug/mensa-institutsviertel_schneller-teller_aug0385.jpg
"Mensafood Organic millet salad with vegetables, pumpkin seeds and cranberries; curry dip; flatbread",,,,,,aug/mensa-institutsviertel_schneller-teller_aug0386.jpg
"Mensafood Organic millet salad with vegetables, pumpkin seeds and cranberries; curry dip; flatbread",,,,,,aug/mensa-institutsviertel_schneller-teller_aug0387.jpg
Mensafood Spicy vegetable coconut soup with organic tofu,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0392.jpg
Mensafood Spicy vegetable coconut soup with organic tofu,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0393.jpg
Mensafood Spicy vegetable coconut soup with organic tofu,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0394.jpg
Mensafood Spicy vegetable coconut soup with organic tofu,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0395.jpg
"Mensafood Bulgur salad with melon, organic tofu cubes and baby spinach; assorted baguettes",,,,,,aug/mensa-flugplatz_essen-2_aug0400.jpg
"Mensafood Bulgur salad with melon, organic tofu cubes and baby spinach; assorted baguettes",,,,,,aug/mensa-flugplatz_essen-2_aug0401.jpg
"Mensafood Bulgur salad with melon, organic tofu cubes and baby spinach; assorted baguettes",,,,,,aug/mensa-flugplatz_essen-2_aug0402.jpg
"Mensafood Bulgur salad with melon, organic tofu cubes and baby spinach; assorted baguettes",,,,,,aug/mensa-flugplatz_essen-2_aug0403.jpg
Mensafood Baked potato with pea guacamole and bean cream,,,,,,aug/mensa-flugplatz_essen-1_aug0404.jpg
Mensafood Baked potato with pea guacamole and bean cream,,,,,,aug/mensa-flugplatz_essen-1_aug0405.jpg
Mensafood Baked potato with pea guacamole and bean cream,,,,,,aug/mensa-flugplatz_essen-1_aug0406.jpg
Mensafood Baked potato with pea guacamole and bean cream,,,,,,aug/mensa-flugplatz_essen-1_aug0407.jpg
Mensafood Crispy chicken schnitzel with tomato ragout; fusilli; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-2_aug0408.jpg
Mensafood Crispy chicken schnitzel with tomato ragout; fusilli; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-2_aug0409.jpg
Mensafood Crispy chicken schnitzel with tomato ragout; fusilli; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-2_aug0410.jpg
Mensafood Crispy chicken schnitzel with tomato ragout; fusilli; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-2_aug0411.jpg
Mensafood Sliced turkey in paprika sauce; mashed potatoes; creamed savoy cabbage,,,,,,aug/mensa-flugplatz_essen-2_aug0416.jpg
Mensafood Sliced turkey in paprika sauce; mashed potatoes; creamed savoy cabbage,,,,,,aug/mensa-flugplatz_essen-2_aug0417.jpg
Mensafood Sliced turkey in paprika sauce; mashed potatoes; creamed savoy cabbage,,,,,,aug/mensa-flugplatz_essen-2_aug0418.jpg
Mensafood Sliced turkey in paprika sauce; mashed potatoes; creamed savoy cabbage,,,,,,aug/mensa-flugplatz_essen-2_aug0419.jpg
"Mensafood Steamed yeast dumpling with vanilla sauce, poppy‑seed butter and apple sauce",,,,,,aug/mensa-flugplatz_essen-1_aug0420.jpg
"Mensafood Steamed yeast dumpling with vanilla sauce, poppy‑seed butter and apple sauce",,,,,,aug/mensa-flugplatz_essen-1_aug0421.jpg
"Mensafood Steamed yeast dumpling with vanilla sauce, poppy‑seed butter and apple sauce",,,,,,aug/mensa-flugplatz_essen-1_aug0422.jpg
"Mensafood Steamed yeast dumpling with vanilla sauce, poppy‑seed butter and apple sauce",,,,,,aug/mensa-flugplatz_essen-1_aug0423.jpg
Mensafood Samosa – filled pastry pockets; hoisin sauce; basmati rice; spinach leaves,,,,,,aug/mensa-littenweiler_essen-1_aug0412.jpg
Mensafood Samosa – filled pastry pockets; hoisin sauce; basmati rice; spinach leaves,,,,,,aug/mensa-littenweiler_essen-1_aug0413.jpg
Mensafood Samosa – filled pastry pockets; hoisin sauce; basmati rice; spinach leaves,,,,,,aug/mensa-littenweiler_essen-1_aug0414.jpg
Mensafood Samosa – filled pastry pockets; hoisin sauce; basmati rice; spinach leaves,,,,,,aug/mensa-littenweiler_essen-1_aug0415.jpg
Mensafood Sliced pork Zurich style; rissolé potatoes; herb pesto,,,,,,aug/mensa-flugplatz_essen-2_aug0424.jpg
Mensafood Sliced pork Zurich style; rissolé potatoes; herb pesto,,,,,,aug/mensa-flugplatz_essen-2_aug0425.jpg
Mensafood Sliced pork Zurich style; rissolé potatoes; herb pesto,,,,,,aug/mensa-flugplatz_essen-2_aug0426.jpg
Mensafood Sliced pork Zurich style; rissolé potatoes; herb pesto,,,,,,aug/mensa-flugplatz_essen-2_aug0427.jpg
Mensafood Roasted chicken leg; herb yoghurt dip; French fries,,,,,,aug/mensa-flugplatz_essen-2_aug0440.jpg
Mensafood Roasted chicken leg; herb yoghurt dip; French fries,,,,,,aug/mensa-flugplatz_essen-2_aug0441.jpg
Mensafood Roasted chicken leg; herb yoghurt dip; French fries,,,,,,aug/mensa-flugplatz_essen-2_aug0442.jpg
Mensafood Roasted chicken leg; herb yoghurt dip; French fries,,,,,,aug/mensa-flugplatz_essen-2_aug0443.jpg
Mensafood Baked marinated feta cheese in parchment; vegetable salad; pea guacamole; flatbread,,,,,,aug/mensa-flugplatz_essen-2_aug0436.jpg
